zona,partido,votos,ano
0033,AGIR,312,2024
0033,AVANTE,984,2024
0033,CIDADANIA,2180,2024
0033,DC,243,2024
0033,MDB,3009,2024
0033,NOVO,1887,2024
0033,PC DO B,967,2024
0033,PDT,387,2024
0033,PL,7050,2024
0033,PMB,442,2024
0033,PODE,3834,2024
0033,PP,4038,2024
0033,PRD,194,2024
0033,PRTB,785,2024
0033,PSB,4670,2024
0033,PSD,5728,2024
0033,PSDB,171,2024
0033,PSOL,5520,2024
0033,PSTU,91,2024
0033,PT,4807,2024
0033,PV,311,2024
0033,REDE,225,2024
0033,REPUBLICANOS,5875,2024
0033,SOLIDARIEDADE,2999,2024
0033,UNIÃO,2900,2024
0274,AGIR,581,2024
0274,AVANTE,1804,2024
0274,CIDADANIA,3099,2024
0274,DC,360,2024
0274,MDB,4050,2024
0274,NOVO,1131,2024
0274,PC DO B,537,2024
0274,PDT,494,2024
0274,PL,6129,2024
0274,PMB,461,2024
0274,PODE,6428,2024
0274,PP,5120,2024
0274,PRD,246,2024
0274,PRTB,594,2024
0274,PSB,18626,2024
0274,PSD,3655,2024
0274,PSDB,173,2024
0274,PSOL,3713,2024
0274,PSTU,72,2024
0274,PT,4234,2024
0274,PV,155,2024
0274,REDE,177,2024
0274,REPUBLICANOS,6191,2024
0274,SOLIDARIEDADE,1318,2024
0274,UNIÃO,4289,2024
0275,AGIR,505,2024
0275,AVANTE,734,2024
0275,CIDADANIA,2286,2024
0275,DC,220,2024
0275,MDB,2971,2024
0275,NOVO,2022,2024
0275,PC DO B,743,2024
0275,PDT,342,2024
0275,PL,6142,2024
0275,PMB,325,2024
0275,PODE,3386,2024
0275,PP,3244,2024
0275,PRD,185,2024
0275,PRTB,431,2024
0275,PSB,10326,2024
0275,PSD,5436,2024
0275,PSDB,125,2024
0275,PSOL,7318,2024
0275,PSTU,94,2024
0275,PT,5871,2024
0275,PV,237,2024
0275,REDE,237,2024
0275,REPUBLICANOS,7364,2024
0275,SOLIDARIEDADE,1378,2024
0275,UNIÃO,2198,2024
0378,AGIR,1178,2024
0378,AVANTE,1629,2024
0378,CIDADANIA,4846,2024
0378,DC,1074,2024
0378,MDB,4601,2024
0378,NOVO,475,2024
0378,PC DO B,883,2024
0378,PDT,730,2024
0378,PL,8002,2024
0378,PMB,1735,2024
0378,PODE,7522,2024
0378,PP,4292,2024
0378,PRD,266,2024
0378,PRTB,1334,2024
0378,PSB,11896,2024
0378,PSD,2399,2024
0378,PSDB,192,2024
0378,PSOL,2427,2024
0378,PSTU,53,2024
0378,PT,6499,2024
0378,PV,72,2024
0378,REDE,61,2024
0378,REPUBLICANOS,12241,2024
0378,SOLIDARIEDADE,817,2024
0378,UNIÃO,11532,2024
0379,AGIR,675,2024
0379,AVANTE,2469,2024
0379,CIDADANIA,3848,2024
0379,DC,812,2024
0379,MDB,9869,2024
0379,NOVO,539,2024
0379,PC DO B,638,2024
0379,PDT,477,2024
0379,PL,6815,2024
0379,PMB,743,2024
0379,PODE,4270,2024
0379,PP,3950,2024
0379,PRD,395,2024
0379,PRTB,896,2024
0379,PSB,6433,2024
0379,PSD,4054,2024
0379,PSDB,230,2024
0379,PSOL,2184,2024
0379,PSTU,39,2024
0379,PT,7054,2024
0379,PV,93,2024
0379,REDE,76,2024
0379,REPUBLICANOS,16910,2024
0379,SOLIDARIEDADE,1396,2024
0379,UNIÃO,10030,2024
0380,AGIR,271,2024
0380,AVANTE,2977,2024
0380,CIDADANIA,2594,2024
0380,DC,305,2024
0380,MDB,2526,2024
0380,NOVO,887,2024
0380,PC DO B,500,2024
0380,PDT,326,2024
0380,PL,10975,2024
0380,PMB,635,2024
0380,PODE,5803,2024
0380,PP,3715,2024
0380,PRD,201,2024
0380,PRTB,523,2024
0380,PSB,6659,2024
0380,PSD,5918,2024
0380,PSDB,138,2024
0380,PSOL,3351,2024
0380,PSTU,71,2024
0380,PT,4355,2024
0380,PV,195,2024
0380,REDE,136,2024
0380,REPUBLICANOS,5156,2024
0380,SOLIDARIEDADE,1549,2024
0380,UNIÃO,4657,2024
0423,AGIR,279,2024
0423,AVANTE,797,2024
0423,CIDADANIA,2134,2024
0423,DC,598,2024
0423,MDB,3854,2024
0423,NOVO,1658,2024
0423,PC DO B,594,2024
0423,PDT,564,2024
0423,PL,11535,2024
0423,PMB,365,2024
0423,PODE,6495,2024
0423,PP,5883,2024
0423,PRD,211,2024
0423,PRTB,379,2024
0423,PSB,4998,2024
0423,PSD,5907,2024
0423,PSDB,105,2024
0423,PSOL,3683,2024
0423,PSTU,46,2024
0423,PT,4103,2024
0423,PV,312,2024
0423,REDE,108,2024
0423,REPUBLICANOS,5086,2024
0423,SOLIDARIEDADE,782,2024
0423,UNIÃO,5954,2024
