zona,votos_campo,votos_total,campo_pct,ano,eleitores_aptos,abstencao_pct
0033,10645,38265,27.82,2022,62004,
0274,13173,58184,22.64,2022,95214,
0275,27700,93856,29.51,2022,149445,
0378,29787,117564,25.34,2022,201707,
0379,22624,96230,23.51,2022,160691,
0380,17134,70605,24.27,2022,117639,
0423,13356,56993,23.43,2022,92015,
