zona,nr_candidato,nm_candidato,sg_partido,ds_cargo,votos,ano
0033,10000,JORGE WILSON GONÇALVES DE MATTOS,PRB,Deputado Estadual,49,2018
0033,10005,MARCIA ROZANA FIDELIS,PRB,Deputado Estadual,0,2018
0033,10012,ONANCIARA RODRIGUES FERNANDEZ,PRB,Deputado Estadual,0,2018
0033,10100,AILDO RODRIGUES FERREIRA,PRB,Deputado Estadual,3,2018
0033,10101,HÉLIO APARECIDO DE GODOY,PRB,Deputado Estadual,1,2018
0033,10111,WELLINGTON DE SOUZA MOURA,PRB,Deputado Estadual,0,2018
0033,10123,GILMACI DOS SANTOS BARBOSA,PRB,Deputado Estadual,358,2018
0033,10133,JOSÉ DOMINGOS BITTENCOURT,PRB,Deputado Estadual,1,2018
0033,10148,SILVIA CRISTINA ASPRINO SOARES,PRB,Deputado Estadual,0,2018
0033,10190,DAVID SEVERINO DA SILVA JUNIOR,PRB,Deputado Estadual,0,2018
0033,10200,ELIAS REZEK AJUB,PRB,Deputado Estadual,4,2018
0033,10300,LUCIANA GISELE DE OLIVEIRA ALVES DA SILVA,PRB,Deputado Estadual,2,2018
0033,10321,SEBASTIÃO DOS SANTOS FILHO,PRB,Deputado Estadual,9,2018
0033,10333,ALTAIR MORAES DE OLIVEIRA,PRB,Deputado Estadual,4,2018
0033,10444,MARCO AURÉLIO PEGOLO DOS SANTOS,PRB,Deputado Estadual,7,2018
0033,10456,EDNA BEZERRA SAMPAIO FERNANDES,PRB,Deputado Estadual,2,2018
0033,10500,MARCOS COUTO DOS SANTOS,PRB,Deputado Estadual,0,2018
0033,10555,MÁRCIO JOSÉ DE OLIVEIRA,PRB,Deputado Estadual,1,2018
0033,10600,WILLIAM NUNES AFFONSO,PRB,Deputado Estadual,2,2018
0033,10777,VALÉRIA APARECIDA MESSIAS LIMA,PRB,Deputado Estadual,10,2018
0033,10789,DAYANI APARECIDA ESCROQUE,PRB,Deputado Estadual,0,2018
0033,10900,VESPASIANO SAULO DA COSTA E SILVA,PRB,Deputado Estadual,0,2018
0033,10999,FRANCISCO JOSÉ LANG FERNANDES DE OLIVEIRA,PRB,Deputado Estadual,2,2018
0033,11000,KENNY PIRES MENDES,PP,Deputado Estadual,14,2018
0033,11011,EDUARDO BOIGUES QUEROZ,PP,Deputado Estadual,17,2018
0033,11012,VITO ARDITO LERÁRIO,PP,Deputado Estadual,2,2018
0033,11023,EDUARDO VIEIRA PETROV,PP,Deputado Estadual,2,2018
0033,11057,MARTA DE PAULA TEIXEIRA DI PIPI,PP,Deputado Estadual,4,2018
0033,11111,ANTONIO CARLOS ESPER CURIATI,PP,Deputado Estadual,11,2018
0033,11123,ALESSANDRA REGINA BEGALLI ZAMORA,PP,Deputado Estadual,234,2018
0033,11138,ROBERVAL CONTE LOPES LIMA,PP,Deputado Estadual,87,2018
0033,11190,PAULO ADRIANO LOPES LUCINDA TELHADA,PP,Deputado Estadual,239,2018
0033,11200,EDUARDO ROZ,PP,Deputado Estadual,20,2018
0033,11222,FABIO SARTORI MANFRINATO,PP,Deputado Estadual,14,2018
0033,11258,MARCIO APARECIDO MARTINS,PP,Deputado Estadual,2,2018
0033,11650,PAULO ROBERTO CECCHINATO,PP,Deputado Estadual,0,2018
0033,11777,ANTONIO ASSUNÇÃO DE OLIM,PP,Deputado Estadual,265,2018
0033,12000,GABRIEL CASSIANO CARVALHO NEVES FINZETTO,PDT,Deputado Estadual,34,2018
0033,12001,SOLANGE MARIA TEODORO,PDT,Deputado Estadual,2,2018
0033,12007,ROBSON APARECIDO PRIMO,PDT,Deputado Estadual,24,2018
0033,12011,ALEXANDRIA BUENO DA SILVA,PDT,Deputado Estadual,5,2018
0033,12012,MARINA LUIZA RODRIGUES MOLINA LOPES,PDT,Deputado Estadual,56,2018
0033,12022,RONALDO FLORIDO DE OLIVEIRA,PDT,Deputado Estadual,0,2018
0033,12051,RIVALDO APARECIDO DE OLIVEIRA,PDT,Deputado Estadual,1,2018
0033,12066,MAISA CARMAGNANI MESSIAS,PDT,Deputado Estadual,0,2018
0033,12077,RITA DE CASSIA SOUSA SANTOS,PDT,Deputado Estadual,0,2018
0033,12081,AUGUSTO CESAR CORREA NETO,PDT,Deputado Estadual,1,2018
0033,12091,VERA LUCIA RIBEIRO DOS REIS MORENO,PDT,Deputado Estadual,0,2018
0033,12100,DIMAS DE PAULA INACIO,PDT,Deputado Estadual,2,2018
0033,12111,SERGIO RICARDO GONÇALVES DA SILVA,PDT,Deputado Estadual,1,2018
0033,12113,OSMAR VILELA DOS SANTOS,PDT,Deputado Estadual,0,2018
0033,12118,ALEXANDRE REGINATO ACEDO,PDT,Deputado Estadual,7,2018
0033,12120,DILSON FRANCISCO FLORIANO,PDT,Deputado Estadual,2,2018
0033,12121,MARLI SILVA PEREIRA,PDT,Deputado Estadual,3,2018
0033,12122,ARI FRIEDENBACH,PDT,Deputado Estadual,17,2018
0033,12123,LUIZ DE MOURA PEREIRA,PDT,Deputado Estadual,6,2018
0033,12133,LUIZ VICENTE DA SILVA,PDT,Deputado Estadual,0,2018
0033,12177,GILVAN SANTOS SOUZA FILHO,PDT,Deputado Estadual,0,2018
0033,12181,JAAZIEL BISPO DOS SANTOS,PDT,Deputado Estadual,0,2018
0033,12190,APARECIDO CARLOS LEANDRO,PDT,Deputado Estadual,3,2018
0033,12193,GENILDO DANTAS DA SILVA,PDT,Deputado Estadual,0,2018
0033,12200,FRANCISCO CARLOS SILVEIRA LEITE,PDT,Deputado Estadual,2,2018
0033,12221,REGIA MARIA GOUVEIA SARMENTO,PDT,Deputado Estadual,0,2018
0033,12222,LUIZ EDUARDO ALMANÇA,PDT,Deputado Estadual,6,2018
0033,12258,ISMAEL DANTAS DE AMORIM FILHO,PDT,Deputado Estadual,0,2018
0033,12292,RUTHINEA DE CARVALHO,PDT,Deputado Estadual,0,2018
0033,12300,CLAUDIA APARECIDA BELTRAN DOS SANTOS,PDT,Deputado Estadual,0,2018
0033,12312,MARCIA APARECIDA MENDES,PDT,Deputado Estadual,3,2018
0033,12321,PEDRO ANTONIO BIGARDI,PDT,Deputado Estadual,14,2018
0033,12333,VALDOMIRO NUNES DE QUEIROS,PDT,Deputado Estadual,1,2018
0033,12340,JOSE SEBASTIAO FILHO,PDT,Deputado Estadual,1,2018
0033,12345,MARCIO MASSAMI NAKASHIMA,PDT,Deputado Estadual,31,2018
0033,12348,SERGIO LUIZ FARAUDE,PDT,Deputado Estadual,1,2018
0033,12360,UÉBER DEIVIDI DA SILVA,PDT,Deputado Estadual,0,2018
0033,12412,JOSUÉ BRIZOLA,PDT,Deputado Estadual,2,2018
0033,12424,MAHAYANA TACCARI,PDT,Deputado Estadual,0,2018
0033,12444,AGAMENON ALVES DA SILVA,PDT,Deputado Estadual,3,2018
0033,12446,ANA CRISTINA AUGUSTA DA SILVA ENCARNAÇÃO,PDT,Deputado Estadual,1,2018
0033,12450,ELIENE DA SILVA SANTOS,PDT,Deputado Estadual,1,2018
0033,12456,DIOGENES BRANCO DE ANDRADE,PDT,Deputado Estadual,2,2018
0033,12468,SIMONE APARECIDA FERREIRA,PDT,Deputado Estadual,0,2018
0033,12491,THIAGO DE LUCA SANT ANA RIBEIRO,PDT,Deputado Estadual,1,2018
0033,12500,JOSÉ DE PAULA SANTOS,PDT,Deputado Estadual,2,2018
0033,12512,VAGNER APARECIDO MALHEIROS,PDT,Deputado Estadual,0,2018
0033,12567,ANTONIO COSTA,PDT,Deputado Estadual,1,2018
0033,12569,SALVADOR RODRIGUES DE SOUZA,PDT,Deputado Estadual,0,2018
0033,12611,CAMILA VERONICA SPERANDIO DE ALMEIDA,PDT,Deputado Estadual,0,2018
0033,12612,LIZETE MARIA CORREA VALLEJO MORALES,PDT,Deputado Estadual,1,2018
0033,12622,SANDRA MARIA DOS SANTOS,PDT,Deputado Estadual,0,2018
0033,12628,CINTIA APARECIDA DE MATOS,PDT,Deputado Estadual,2,2018
0033,12640,JOSÉ MARCIO DE SOUZA CANDIDO,PDT,Deputado Estadual,1,2018
0033,12689,PAULO VICTOR NOVAES,PDT,Deputado Estadual,0,2018
0033,12712,HERNANI JOSÉ BARRETO DA SILVA,PDT,Deputado Estadual,1,2018
0033,12767,STELLA TAVARES MACHADO,PDT,Deputado Estadual,2,2018
0033,12777,THYAGO CEZAR,PDT,Deputado Estadual,5,2018
0033,12789,PAULO ALVES PEREIRA,PDT,Deputado Estadual,1,2018
0033,12800,MIGUEL FRANCISCO DE LIMA,PDT,Deputado Estadual,1,2018
0033,12812,ALLAN RODRIGO ALVES,PDT,Deputado Estadual,2,2018
0033,12900,MANOEL JOSÉ DE ALENCAR FILHO,PDT,Deputado Estadual,1,2018
0033,12999,ADENILSON APARECIDO BARBOSA,PDT,Deputado Estadual,0,2018
0033,13001,PEDRO TOURINHO DE SIQUEIRA,PT,Deputado Estadual,1279,2018
0033,13002,ANTONIO AUGUSTO PORTO,PT,Deputado Estadual,1,2018
0033,13003,ANA LIDIA DE OLIVEIRA AGUIAR,PT,Deputado Estadual,73,2018
0033,13005,NOEMIA BENTO DE OLIVEIRA,PT,Deputado Estadual,0,2018
0033,13007,EDIVALDO DE OLIVEIRA LIMA,PT,Deputado Estadual,0,2018
0033,13008,JOAQUIM MISAEL DA SILVA,PT,Deputado Estadual,0,2018
0033,13009,VALQUIRIA JUSTINO,PT,Deputado Estadual,0,2018
0033,13011,MARIO MAURICI DE LIMA MORAIS,PT,Deputado Estadual,5,2018
0033,13015,CLAUDILSON LEITE PEREIRA,PT,Deputado Estadual,0,2018
0033,13016,ROBERTO SAMPAIO GÂNDARA JÚNIOR,PT,Deputado Estadual,9,2018
0033,13021,SIMONE DINIZ DI STADIO DE ARAUJO,PT,Deputado Estadual,2,2018
0033,13066,ADELIA OLIVEIRA DE FARIAS,PT,Deputado Estadual,20,2018
0033,13068,MARCELO PEDROSO DE OLIVEIRA,PT,Deputado Estadual,0,2018
0033,13090,WANDA DE OLIVEIRA FERREIRA,PT,Deputado Estadual,0,2018
0033,13100,GARRY DERALUS,PT,Deputado Estadual,1,2018
0033,13110,TEONILIO MONTEIRO DA COSTA,PT,Deputado Estadual,2,2018
0033,13111,NORMANDO COSTA DE ANDRADE FILHO,PT,Deputado Estadual,5,2018
0033,13113,MARCIA APARECIDA OVEJANEDA LIA,PT,Deputado Estadual,19,2018
0033,13114,ENIO FRANCISCO TATTO,PT,Deputado Estadual,17,2018
