zona,votos_campo,votos_total,campo_pct,ano,eleitores_aptos,abstencao_pct
0033,10643,59609,17.85,2024,110477,
0274,8196,73637,11.13,2024,126930,
0275,13520,64120,21.09,2024,115213,
0378,9040,86756,10.42,2024,151633,
0379,9353,84895,11.02,2024,150802,
0380,7913,64423,12.28,2024,113644,
0423,7940,66430,11.95,2024,116027,
