zona,votos_total,votos_campo,eleitores_aptos,campo_pct,abstencao_pct,ano
0033,29636,8174,61384,27.58,51.7,2020
0274,49373,18283,92055,37.03,46.4,2020
0275,74444,22032,141646,29.6,47.4,2020
0378,102038,30691,189600,30.08,46.2,2020
0379,83392,24713,154141,29.63,45.9,2020
0380,61477,17649,115504,28.71,46.8,2020
0423,48537,10523,89103,21.68,45.5,2020
