zona,nr_candidato,nm_candidato,sg_partido,ds_cargo,votos,ano
0033,10000,JORGE WILSON GONÇALVES DE MATTOS,REPUBLICANOS,Deputado Estadual,58,2022
0033,10001,RALFI RAFAEL DA SILVA,REPUBLICANOS,Deputado Estadual,5,2022
0033,10003,HELIO GERALDO RAMOS JUNIOR,REPUBLICANOS,Deputado Estadual,1,2022
0033,10007,CLEUSA APARECIDA DOS SANTOS,REPUBLICANOS,Deputado Estadual,0,2022
0033,10010,VANESSA GALLONI CARRERA,REPUBLICANOS,Deputado Estadual,13,2022
0033,10011,SONIA APARECIDA GONÇALVES BELARMINO,REPUBLICANOS,Deputado Estadual,0,2022
0033,10014,VIVIAN MAIRA DA SILVA MARCOS SOARES,REPUBLICANOS,Deputado Estadual,0,2022
0033,10017,DANILO CESAR CAMPETTI,REPUBLICANOS,Deputado Estadual,69,2022
0033,10018,CACILDA SANTOS MAGALHÃES,REPUBLICANOS,Deputado Estadual,0,2022
0033,10020,SILVIO ALESSANDER ENCARNAÇÃO,REPUBLICANOS,Deputado Estadual,0,2022
0033,10022,EDSON ANTONIO DE SOUZA,REPUBLICANOS,Deputado Estadual,1,2022
0033,10030,EDNA MARIA VERTELLO SILVA,REPUBLICANOS,Deputado Estadual,0,2022
0033,10033,ROGERIO PEDROSO DE PADUA JUNIOR,REPUBLICANOS,Deputado Estadual,0,2022
0033,10038,CAIQUE MAFRA BARBOSA,REPUBLICANOS,Deputado Estadual,25,2022
0033,10055,IARA FRANCISCA DOS SANTOS,REPUBLICANOS,Deputado Estadual,5,2022
0033,10060,JORGE LUIS DE SOUZA RODRIGUES,REPUBLICANOS,Deputado Estadual,0,2022
0033,10069,WAGNER BERNARDINO DA SILVA,REPUBLICANOS,Deputado Estadual,0,2022
0033,10070,WALTER PEREIRA FERREIRA,REPUBLICANOS,Deputado Estadual,2,2022
0033,10087,MARCO ROBERTO DA SILVA,REPUBLICANOS,Deputado Estadual,1,2022
0033,10099,LEONICE ALVES DA PAZ,REPUBLICANOS,Deputado Estadual,110,2022
0033,10100,AILDO RODRIGUES FERREIRA,REPUBLICANOS,Deputado Estadual,42,2022
0033,10101,EDISON LOURENÇO RICCOMI,REPUBLICANOS,Deputado Estadual,3,2022
0033,10102,RUBI CRUSE,REPUBLICANOS,Deputado Estadual,0,2022
0033,10107,FABIO DE CAMARGO TELLES,REPUBLICANOS,Deputado Estadual,0,2022
0033,10110,ABELARDO WANDERLINO DA COSTA NETO,REPUBLICANOS,Deputado Estadual,5,2022
0033,10111,RUI ALVES SOUZA JUNIOR,REPUBLICANOS,Deputado Estadual,15,2022
0033,10114,VALDECIR SOUZA DOS SANTOS,REPUBLICANOS,Deputado Estadual,3,2022
0033,10120,MARCO ANTONIO ZANONI BUENO,REPUBLICANOS,Deputado Estadual,12,2022
0033,10122,GILSON DE SOUZA,REPUBLICANOS,Deputado Estadual,2,2022
0033,10123,GILMACI DOS SANTOS BARBOSA,REPUBLICANOS,Deputado Estadual,391,2022
0033,10125,BRIGIDA PINATTI AMATTE,REPUBLICANOS,Deputado Estadual,0,2022
0033,10147,CLAUDIO ERNANI MARCONDES DE MIRANDA,REPUBLICANOS,Deputado Estadual,15,2022
0033,10170,GENILZA MEDEIROS DE CASTRO,REPUBLICANOS,Deputado Estadual,0,2022
0033,10181,LÔIDE CAMILO SOUZA FIUZA DE CARVALHO,REPUBLICANOS,Deputado Estadual,1,2022
0033,10190,HELENA DOS SANTOS REIS,REPUBLICANOS,Deputado Estadual,13,2022
0033,10192,ELTON CARVALHO PORTO,REPUBLICANOS,Deputado Estadual,2,2022
0033,10193,ADEMAR FRANCISCO MARTINS NETO,REPUBLICANOS,Deputado Estadual,2,2022
0033,10196,MAYRA ROSANNA GAMA DE ARAÚJO SILVA DA COSTA,REPUBLICANOS,Deputado Estadual,33,2022
0033,10200,HIGOR DIEGO RALLA,REPUBLICANOS,Deputado Estadual,318,2022
0033,10202,CLEMILTON ALVES DA SILVA,REPUBLICANOS,Deputado Estadual,5,2022
0033,10220,MARCO AURELIO MOREIRA ROQUE,REPUBLICANOS,Deputado Estadual,1,2022
0033,10222,ÉLITON SOUSA LEITE,REPUBLICANOS,Deputado Estadual,49,2022
0033,10224,MARIA NILZA FERREIRA ALVES,REPUBLICANOS,Deputado Estadual,0,2022
0033,10234,LUIZ CARLOS DONEGÁ NETO,REPUBLICANOS,Deputado Estadual,1,2022
0033,10255,LUIZ ANTONIO DINIZ DE ALMEIDA,REPUBLICANOS,Deputado Estadual,2,2022
0033,10300,RODRIGO FERNANDO NOVELLI,REPUBLICANOS,Deputado Estadual,2,2022
0033,10310,HUGO DANTAS DA SILVA,REPUBLICANOS,Deputado Estadual,0,2022
0033,10317,ROGERIO MOURA TOMAZ,REPUBLICANOS,Deputado Estadual,1,2022
0033,10318,LILIANE HELENA BARBOSA CHIARELLI,REPUBLICANOS,Deputado Estadual,0,2022
0033,10321,SEBASTIÃO DOS SANTOS FILHO,REPUBLICANOS,Deputado Estadual,3,2022
0033,10322,MAURICIO NOGUEIRA DIAS,REPUBLICANOS,Deputado Estadual,1,2022
0033,10333,ALTAIR MORAES DE OLIVEIRA,REPUBLICANOS,Deputado Estadual,16,2022
0033,10345,ABNER DELUQUI ISIDORO,REPUBLICANOS,Deputado Estadual,1,2022
0033,10360,VAGNER FERNANDES DA SILVA,REPUBLICANOS,Deputado Estadual,0,2022
0033,10369,ANDRE GEORGE NERES DE FARIAS,REPUBLICANOS,Deputado Estadual,0,2022
0033,10400,CHAYNI MELO DA SILVA,REPUBLICANOS,Deputado Estadual,1,2022
0033,10422,THIAGO ANTONIO BRIGANO,REPUBLICANOS,Deputado Estadual,6,2022
0033,10444,EDSON JOSÉ BOMBONATTI,REPUBLICANOS,Deputado Estadual,0,2022
0033,10450,PEDRO LUIZ CONTI MARIOZI,REPUBLICANOS,Deputado Estadual,0,2022
0033,10456,EDNA BEZERRA SAMPAIO FERNANDES,REPUBLICANOS,Deputado Estadual,10,2022
0033,10470,ANA CRISTINA DA SILVA COSTA,REPUBLICANOS,Deputado Estadual,0,2022
0033,10500,DOUGLAS ALBERTO SANTOS,REPUBLICANOS,Deputado Estadual,4,2022
0033,10511,CLAUDIO MASANOBU TERASAKA,REPUBLICANOS,Deputado Estadual,5,2022
0033,10550,TOME ABDUCH,REPUBLICANOS,Deputado Estadual,1391,2022
0033,10555,VITOR ALEXANDRE RODRIGUES,REPUBLICANOS,Deputado Estadual,9,2022
0033,10600,FLEITAS FIDELES MONTEIRO,REPUBLICANOS,Deputado Estadual,4,2022
0033,10605,CLAUDIA SILVIA MACHADO DA SILVA,REPUBLICANOS,Deputado Estadual,1,2022
0033,10611,CARLOS WEVERTON ORTEGA SANCHES,REPUBLICANOS,Deputado Estadual,1,2022
0033,10666,ELIANA ATTINI PALMIERI,REPUBLICANOS,Deputado Estadual,0,2022
0033,10699,AUREA ROCHA,REPUBLICANOS,Deputado Estadual,1,2022
0033,10700,EDSON PIRES SALOMÃO,REPUBLICANOS,Deputado Estadual,36,2022
0033,10722,VASCO DA GAMA JUNIOR,REPUBLICANOS,Deputado Estadual,0,2022
0033,10770,MARIA APARECIDA ROQUE DE OLIVEIRA,REPUBLICANOS,Deputado Estadual,0,2022
0033,10777,MANOEL BARBOSA DO NASCIMENTO,REPUBLICANOS,Deputado Estadual,57,2022
0033,10780,GERLANY FELISMINO DE LIMA ROCHA,REPUBLICANOS,Deputado Estadual,0,2022
0033,10788,SIDNEY NERY DA SILVA,REPUBLICANOS,Deputado Estadual,0,2022
