nr_candidato,nm_candidato,sg_partido,ds_cargo,total_votos,zonas_com_voto,ano
17317,JANAINA CONCEIÇÃO PASCHOAL,PSL,Deputado Estadual,92199,7,2018
40000,RAFAEL FERNANDO ZIMBALDI,PSB,Deputado Estadual,48699,7,2018
13001,PEDRO TOURINHO DE SIQUEIRA,PT,Deputado Estadual,18824,7,2018
45200,CELIA CAMARGO LEÃO EDELMUTH,PSDB,Deputado Estadual,16545,7,2018
25555,ARTHUR MOLEDO DO VAL,DEM,Deputado Estadual,16258,7,2018
50100,MARIANA CONTI TAKAHASHI,PSOL,Deputado Estadual,15269,7,2018
13813,RENATO SIMOES,PT,Deputado Estadual,11933,7,2018
65123,GUSTAVO LEMOS PETTA,PC do B,Deputado Estadual,10138,7,2018
25025,APARECIDO DE CAMPOS FILHO,DEM,Deputado Estadual,9727,7,2018
10123,GILMACI DOS SANTOS BARBOSA,PRB,Deputado Estadual,9047,7,2018
22190,JAIME DE SOUZA,PR,Deputado Estadual,8919,7,2018
17120,GILDEVANIO ILSO DOS SANTOS DINIZ,PSL,Deputado Estadual,7507,7,2018
55400,MARTA MARIA FREIRE DA COSTA,PSD,Deputado Estadual,6919,7,2018
30900,DANIEL BISCOLA PEREIRA,NOVO,Deputado Estadual,6862,7,2018
17667,VALERIA MULLER RAMOS BOLSONARO,PSL,Deputado Estadual,6581,7,2018
30300,DANIEL JOSÉ DA SILVA OLIVEIRA,NOVO,Deputado Estadual,6357,7,2018
50777,PAULO ROBERTO BUFALO,PSOL,Deputado Estadual,5061,7,2018
17000,DIMAS MECCA SAMPAIO,PSL,Deputado Estadual,4879,7,2018
22456,ANTONIO DIRCEU DALBEN,PR,Deputado Estadual,4486,7,2018
11190,PAULO ADRIANO LOPES LUCINDA TELHADA,PP,Deputado Estadual,4358,7,2018
44444,FELICIANO NAHIMY FILHO,PRP,Deputado Estadual,4144,7,2018
90040,APARECIDO SOUZA SANTOS,PROS,Deputado Estadual,4042,7,2018
30111,HENI OZI CUKIER,NOVO,Deputado Estadual,3822,7,2018
19100,BRUNO AREVALO GANEM,PODE,Deputado Estadual,3596,7,2018
40112,CARLOS CEZAR DA SILVA,PSB,Deputado Estadual,3521,7,2018
11777,ANTONIO ASSUNÇÃO DE OLIM,PP,Deputado Estadual,3492,7,2018
50900,MONICA CRISTINA SEIXAS BONFIM,PSOL,Deputado Estadual,3005,7,2018
11123,ALESSANDRA REGINA BEGALLI ZAMORA,PP,Deputado Estadual,2814,7,2018
17064,DOUGLAS GARCIA BISPO DOS SANTOS,PSL,Deputado Estadual,2720,7,2018
10000,JORGE WILSON GONÇALVES DE MATTOS,PRB,Deputado Estadual,2268,7,2018
23123,DAVID ZAIA,PPS,Deputado Estadual,2218,7,2018
45000,CAUE CASEIRO MACRIS,PSDB,Deputado Estadual,2215,7,2018
50789,CARLOS ALBERTO GIANNASI,PSOL,Deputado Estadual,2067,7,2018
17070,BRUNO MARCELLO DE OLIVEIRA LIMA,PSL,Deputado Estadual,2045,7,2018
90190,ADRIANA SANCHES GALDEANO BORGO,PROS,Deputado Estadual,1896,7,2018
25333,DANIEL BEZERRA RIBEIRO SOARES,DEM,Deputado Estadual,1795,7,2018
17067,OSCAR CASTELO BRANCO DE LUCA,PSL,Deputado Estadual,1693,7,2018
17700,MANOEL BARBOSA DO NASCIMENTO,PSL,Deputado Estadual,1670,7,2018
55777,ALEXANDER MUNIZ DE OLIVEIRA,PSD,Deputado Estadual,1604,7,2018
13199,ANTONIO MENTOR DE MELLO SOBRINHO,PT,Deputado Estadual,1569,7,2018
65035,LECI BRANDÃO DA SILVA,PC do B,Deputado Estadual,1553,7,2018
17777,RODRIGO GAMBALE VIEIRA,PSL,Deputado Estadual,1503,7,2018
13640,VERA LÚCIA RODRIGUES DE FARIA,PT,Deputado Estadual,1500,7,2018
31333,THELMA ELAINE BRASILEIRO ROBERTI,PHS,Deputado Estadual,1484,7,2018
