zona,eleitores_aptos,campo_pct_ultimo,crescimento,abstencao_pct,pct_jovens,score,classificacao,justificativa
0378,201707,25.34,0.0,,29.3,73.4,Crescer,Potencial real de crescimento. Campo avançou 0.0pp desde 2018.
0379,160691,23.51,0.0,,30.4,66.2,Crescer,Potencial real de crescimento. Campo avançou 0.0pp desde 2018.
0275,149445,29.51,0.0,,25.0,56.1,Crescer,Potencial real de crescimento. Campo avançou 0.0pp desde 2018.
0380,117639,24.27,0.0,,21.7,44.6,Prospectar,Zona com menor penetração do campo (24.3%). Exploração de longo prazo.
0274,95214,22.64,0.0,,23.9,42.9,Prospectar,Zona com menor penetração do campo (22.6%). Exploração de longo prazo.
0423,92015,23.43,0.0,,22.6,40.4,Prospectar,Zona com menor penetração do campo (23.4%). Exploração de longo prazo.
0033,62004,27.82,0.0,,16.3,25.0,Prospectar,Zona com menor penetração do campo (27.8%). Exploração de longo prazo.
