nr_candidato,nm_candidato,sg_partido,ds_cargo,total_votos,zonas_com_voto,ano
50100,MARIANA CONTI TAKAHASHI,PSOL,Vereador,14356,7,2024
23000,VINICIUS DE OLIVEIRA SANDOVAL,CIDADANIA,Vereador,11423,7,2024
10200,HIGOR DIEGO RALLA,REPUBLICANOS,Vereador,11391,7,2024
44000,RODRIGO LUIS DE BARROS ALMEIDA,UNIÃO,Vereador,9006,7,2024
22123,LUIS HENRIQUE SILVA SCHENEIDER,PL,Vereador,7993,7,2024
22000,DEBORA DE ANDRADE PALERMO,PL,Vereador,7690,7,2024
13123,PAOLLA CATHERINE DOS SANTOS MIGUEL AGARD,PT,Vereador,7485,7,2024
22222,OTTO ALEJANDRO RIGAZZO ETTINGER,PL,Vereador,7442,7,2024
40580,JOSE CARLOS DOS SANTOS,PSB,Vereador,7328,7,2024
10123,BENEDITO ROBERTO ALVES FERREIRA,REPUBLICANOS,Vereador,7057,7,2024
40500,RUBENS SOARES DO NASCIMENTO,PSB,Vereador,6960,7,2024
15000,ARNALDO SALVETTI PALÁCIO JUNIOR,MDB,Vereador,6921,7,2024
11011,MARCELO DUCHOVNI SILVA,PP,Vereador,6895,7,2024
40456,PERMINIO MONTEIRO DA SILVA,PSB,Vereador,6612,7,2024
55055,NELSON HOSSRI NETO,PSD,Vereador,6157,7,2024
44200,EDSON RIBEIRO,UNIÃO,Vereador,6129,7,2024
10000,LUIZ CARLOS ROSSINI,REPUBLICANOS,Vereador,6112,7,2024
22422,BENEDITO PEREIRA LIMA,PL,Vereador,6093,7,2024
20020,LUIZ HENRIQUE CIRILO,PODE,Vereador,5694,7,2024
13020,MARGARIDA DA SILVA CALIXTO,PT,Vereador,5492,7,2024
10456,CARMO LUIZ GREGÓRIO DA SILVA,REPUBLICANOS,Vereador,5479,7,2024
40112,FILIPE BATISTA MARCHESI,PSB,Vereador,5435,7,2024
22233,GUILHERME BANDONI TEIXEIRA,PL,Vereador,5383,7,2024
13300,WAGNER DE MELO ROMÃO,PT,Vereador,5088,7,2024
20100,HEBERT GARAGNANI,PODE,Vereador,5004,7,2024
77100,JAIR QUINÁLIA,SOLIDARIEDADE,Vereador,4924,7,2024
65656,GUSTAVO LEMOS PETTA,PC do B,Vereador,4803,7,2024
20000,EDUARDO DOS REIS MAGOGA,PODE,Vereador,4780,7,2024
22622,EDEVALDO DE MELO,PL,Vereador,4536,7,2024
40678,JOSE CARLOS SILVA,PSB,Vereador,4460,7,2024
15123,JOÃO BATISTA DE PAULA,MDB,Vereador,4460,7,2024
20123,GILBERTO LEÃO DE ARAÚJO,PODE,Vereador,4441,7,2024
40888,AILTON FERNANDES SARMENTO,PSB,Vereador,4374,7,2024
40013,JAIRSON VALERIO DOS ANJOS,PSB,Vereador,4143,7,2024
10500,LUIS MOKITI YABIKU,REPUBLICANOS,Vereador,4039,7,2024
30999,PAULO SERGIO BARCELLOS GASPAR,NOVO,Vereador,4018,7,2024
40234,MARCOS JOSE BERNARDELLI,PSB,Vereador,4013,7,2024
55655,PAULO CÉSAR HADDAD,PSD,Vereador,3969,7,2024
22789,JUSCELINO DE SOUZA MARTINS,PL,Vereador,3678,7,2024
15111,RODRIGO DA SILVA FREITAS DOS SANTOS,MDB,Vereador,3636,7,2024
10234,MILTON SOARES MUCHIUTTE,REPUBLICANOS,Vereador,3397,7,2024
11000,YANKO GONÇALVES MELLO,PP,Vereador,3302,7,2024
50123,FERNANDA DE OLIVEIRA SOUTO,PSOL,Vereador,3268,7,2024
13011,CECILIO SERAFIM DOS SANTOS,PT,Vereador,3182,7,2024
50000,PAULO ROBERTO BUFALO,PSOL,Vereador,3173,7,2024
20050,ANDRÉ LUIS SILVA DE SOUZA,PODE,Vereador,3094,7,2024
55510,MULLER PASCHOAL DE OLIVEIRA FERREIRA,PSD,Vereador,3044,7,2024
10222,JEZIEL SEVERINO DA SILVA,REPUBLICANOS,Vereador,3035,7,2024
55222,JORGE DOS SANTOS MONTANARI,PSD,Vereador,3012,7,2024
44040,APARECIDO SOUZA SANTOS,UNIÃO,Vereador,3003,7,2024
44250,MAURICELE DA SILVA LOPES,UNIÃO,Vereador,2918,7,2024
22400,MARCIA APARECIDA PEREIRA DA SILVA PINHEIRO,PL,Vereador,2881,7,2024
40800,MARCELO VITAL,PSB,Vereador,2787,7,2024
10450,MARCELO PONTEL,REPUBLICANOS,Vereador,2571,7,2024
15555,HÉLIO ALVES MOREIRA,MDB,Vereador,2516,7,2024
44190,JAIME DE SOUZA,UNIÃO,Vereador,2470,7,2024
44019,FELIPE PEREIRA DE CAMPOS VERGUEIRO,UNIÃO,Vereador,2359,7,2024
13112,EVELYN SILVA DO NASCIMENTO VICENTE DA SILVA,PT,Vereador,2342,7,2024
22022,CARLOS EDUARDO CRUZ,PL,Vereador,2269,7,2024
50001,MARCELA DIAS MOREIRA,PSOL,Vereador,2262,7,2024
11456,FABIO CAMILO DE ALMEIDA,PP,Vereador,2256,7,2024
50019,THAMIRES BATISTA GOMES RAMOS,PSOL,Vereador,2251,7,2024
40345,CLAUDINEI ALMEIDA,PSB,Vereador,2211,7,2024
15567,LUIS GUSTAVO MARQUES DOS SANTOS,MDB,Vereador,2116,7,2024
