nr_local,nr_candidato,nm_candidato,votos,sg_partido,ano,lat,lng
1015,10,DARIO JORGE GIOLO SAADI,8183,REPUBLICANOS,2020,-22.9056391,-47.059564
1015,10,REPUBLICANOS,107,REPUBLICANOS,2020,-22.9056391,-47.059564
1015,10000,PAULO SERGIO CAMPANA,42,REPUBLICANOS,2020,-22.9056391,-47.059564
1015,10010,CLAUDIO CORMANICH,34,REPUBLICANOS,2020,-22.9056391,-47.059564
1015,10080,LUIZ FELIPE DE OLIVEIRA THEODORO,35,REPUBLICANOS,2020,-22.9056391,-47.059564
1015,10122,LUIZ GONZAGA,40,REPUBLICANOS,2020,-22.9056391,-47.059564
1015,10123,FERNANDO CESAR RIBEIRO MENDES,99,REPUBLICANOS,2020,-22.9056391,-47.059564
1015,10200,HIGOR DIEGO RALLA,51,REPUBLICANOS,2020,-22.9056391,-47.059564
1015,10234,JAKSSON LEANDRO LUCIANO GONÇALVES,68,REPUBLICANOS,2020,-22.9056391,-47.059564
1015,11111,JAIME DE SOUZA,69,PP,2020,-22.9056391,-47.059564
1015,11123,DENILSON DO PRADO,73,PP,2020,-22.9056391,-47.059564
1015,11181,MARCOS ALVES FERREIRA,35,PP,2020,-22.9056391,-47.059564
1015,11190,ISRAEL NANTES SANTOS,49,PP,2020,-22.9056391,-47.059564
1015,12,HÉLIO DE OLIVEIRA SANTOS,100,,2020,-22.9056391,-47.059564
1015,12,Partido Democrático Trabalhista,31,,2020,-22.9056391,-47.059564
1015,12345,AURELIO JOSE CLAUDIO,86,PDT,2020,-22.9056391,-47.059564
1015,13,PEDRO TOURINHO DE SIQUEIRA,2111,PT,2020,-22.9056391,-47.059564
1015,13,Partido dos Trabalhadores,192,PT,2020,-22.9056391,-47.059564
1015,13011,CECÍLIO SERAFIM DOS SANTOS,32,PT,2020,-22.9056391,-47.059564
1015,13020,MARGARIDA DA SILVA CALIXTO,112,PT,2020,-22.9056391,-47.059564
1015,13060,WALCY DE OLIVEIRA,33,PT,2020,-22.9056391,-47.059564
1015,13123,PAOLLA CATHERINE DOS SANTOS MIGUEL AGARD,62,PT,2020,-22.9056391,-47.059564
1015,13138,SOLANGE LOUREIRO POZZUTO,47,PT,2020,-22.9056391,-47.059564
1015,13300,WAGNER DE MELO ROMÃO,68,PT,2020,-22.9056391,-47.059564
1015,13331,VERA LÚCIA RODRIGUES DE FARIA,50,PT,2020,-22.9056391,-47.059564
1015,13613,CARLOS ROBERTO DE OLIVEIRA,36,PT,2020,-22.9056391,-47.059564
1015,14,TERESINHA DE CARVALHO,371,PTB,2020,-22.9056391,-47.059564
1015,14013,KATIA STANCATO,50,PTB,2020,-22.9056391,-47.059564
1015,14333,RODOLFO TEIXEIRA CORREA,43,PTB,2020,-22.9056391,-47.059564
1015,14604,JOÃO DIRANI JUNIOR,55,PTB,2020,-22.9056391,-47.059564
1015,15000,ARNALDO SALVETTI PALÁCIO JUNIOR,95,MDB,2020,-22.9056391,-47.059564
1015,15100,YANKO GONCALVES MELLO,66,MDB,2020,-22.9056391,-47.059564
1015,17000,APARECIDO SOUZA SANTOS,31,PSL,2020,-22.9056391,-47.059564
1015,17200,EDISON RIBEIRO,83,PSL,2020,-22.9056391,-47.059564
1015,17325,SAMYA DANIELLE MARTINS MEYER,30,PSL,2020,-22.9056391,-47.059564
1015,17800,JEZIEL SEVERINO DA SILVA,39,PSL,2020,-22.9056391,-47.059564
1015,19000,APARECIDO DE CAMPOS FILHO,31,,2020,-22.9056391,-47.059564
1015,19555,EDUARDO DOS REIS MAGOGA,38,PODE,2020,-22.9056391,-47.059564
1015,20000,DEBORA DE ANDRADE PALERMO,32,PSC,2020,-22.9056391,-47.059564
1015,20020,CARLOS EDUARDO CRUZ,39,PSC,2020,-22.9056391,-47.059564
1015,20333,JOSÉ DOMINGOS DA SILVA SANTOS,36,PSC,2020,-22.9056391,-47.059564
1015,20345,ISAC MONEGO,60,PSC,2020,-22.9056391,-47.059564
1015,20500,JOSÉ CARLOS FURIOSO,32,PSC,2020,-22.9056391,-47.059564
1015,20888,MANOEL NEVES DOS SANTOS,45,PSC,2020,-22.9056391,-47.059564
1015,22,Partido Liberal,84,PL,2020,-22.9056391,-47.059564
1015,22,RAFAEL FERNANDO ZIMBALDI,5539,PL,2020,-22.9056391,-47.059564
1015,22000,ALBERTO ALVES DA FONSECA,70,PL,2020,-22.9056391,-47.059564
1015,22019,FELIPE PEREIRA DE CAMPOS VERGUEIRO,39,PL,2020,-22.9056391,-47.059564
1015,22111,CAROLINA LOURENÇO DEFILIPPI GONÇALVES,58,PL,2020,-22.9056391,-47.059564
1015,22123,JORGE ROBERTO SCHENEIDER,106,PL,2020,-22.9056391,-47.059564
1015,22222,PAULO SERGIO GALTÉRIO,31,PL,2020,-22.9056391,-47.059564
1015,22300,JORGE VEIGA JUNIOR,36,PL,2020,-22.9056391,-47.059564
1015,22456,FÁBIO LUIS DE LIMA,35,PL,2020,-22.9056391,-47.059564
1015,22500,MOISES MARQUES DE ABREU,32,PL,2020,-22.9056391,-47.059564
1015,22567,OTTO ALEJANDRO RIGAZZO ETTINGER,32,PL,2020,-22.9056391,-47.059564
1015,22622,EDEVALDO DE MELO,147,PL,2020,-22.9056391,-47.059564
1015,22888,SANDRO ORLANDO RAFFA,41,PL,2020,-22.9056391,-47.059564
1015,22999,GASPARINO RAIMUNDO DA SILVA,39,PL,2020,-22.9056391,-47.059564
1015,23,ANDRÉ LUIZ DE CAMARGO VON ZUBEN,162,CIDADANIA,2020,-22.9056391,-47.059564
1015,23026,MARJORIE DA COSTA HENRIQUE RODRIGUES,31,CIDADANIA,2020,-22.9056391,-47.059564
1015,23123,PAULO CESAR HADDAD,57,CIDADANIA,2020,-22.9056391,-47.059564
1015,23456,HENRI MAEDA,60,CIDADANIA,2020,-22.9056391,-47.059564
1015,25000,RODRIGO LUIS DE BARROS ALMEIDA,70,DEM,2020,-22.9056391,-47.059564
1015,25025,APARECIDO GOMES CORREIA,30,DEM,2020,-22.9056391,-47.059564
1015,25123,WANDERLEY LUIZ SARTORI,61,DEM,2020,-22.9056391,-47.059564
1015,28,ROGÉRIO STRACIALANO PARADA,175,PRTB,2020,-22.9056391,-47.059564
1015,28028,CARLOS ALBERTO BERTOLDO,32,PRTB,2020,-22.9056391,-47.059564
1015,30,Partido Novo,90,,2020,-22.9056391,-47.059564
1015,30000,ANDRE ROBERTO FREITAS FERREIRA PINTO,45,NOVO,2020,-22.9056391,-47.059564
1015,30333,FRANCISCO ASSIS DA CONCEIÇÃO,36,NOVO,2020,-22.9056391,-47.059564
1015,30500,MARIA CRISTINA DE OLIVEIRA,58,NOVO,2020,-22.9056391,-47.059564
1015,30777,JONATHAS DE SIQUEIRA FERREIRA,110,NOVO,2020,-22.9056391,-47.059564
1015,30900,DANIEL BISCOLA PEREIRA,44,NOVO,2020,-22.9056391,-47.059564
1015,30999,PAULO SÉRGIO BARCELLOS GASPAR,98,NOVO,2020,-22.9056391,-47.059564
1015,33,AHMED TARIQUE TOMBOUCTOU AGIO,35,PMN,2020,-22.9056391,-47.059564
1015,40000,LUIS MOKITI YABIKU,83,PSB,2020,-22.9056391,-47.059564
1015,40013,JAIRSON VALERIO DOS ANJOS,50,PSB,2020,-22.9056391,-47.059564
1015,40112,FILIPE BATISTA MARCHESI,55,PSB,2020,-22.9056391,-47.059564
1015,40123,GILBERTO CARLOS CARDOSO,37,PSB,2020,-22.9056391,-47.059564
1015,40222,ELIAS HERNANE AZEVEDO,38,PSB,2020,-22.9056391,-47.059564
1015,40345,CLAUDINEI ALMEIDA,62,PSB,2020,-22.9056391,-47.059564
1015,40456,PERMINIO MONTEIRO DA SILVA,69,PSB,2020,-22.9056391,-47.059564
1015,40580,JOSE CARLOS DOS SANTOS,59,PSB,2020,-22.9056391,-47.059564
1015,40677,CID FERREIRA DE SOUZA,42,PSB,2020,-22.9056391,-47.059564
1015,40678,JOSÉ CARLOS SILVA,112,PSB,2020,-22.9056391,-47.059564
1015,43,ROGERIO MENEZES DE MELLO,139,PV,2020,-22.9056391,-47.059564
1015,43123,LUIZ CARLOS ROSSINI,71,PV,2020,-22.9056391,-47.059564
1015,43430,CARLOS ROBERTO ALVIM,46,PV,2020,-22.9056391,-47.059564
1015,45123,GUILHERME DAMASCENO FERNANDES,70,PSDB,2020,-22.9056391,-47.059564
1015,45234,MARCOS JOSÉ BERNARDELLI,93,PSDB,2020,-22.9056391,-47.059564
1015,45500,WILSON DA SILVA,37,PSDB,2020,-22.9056391,-47.059564
1015,45678,LUIZ HENRIQUE CIRILO,70,PSDB,2020,-22.9056391,-47.059564
1015,50,Partido Socialismo e Liberdade,48,,2020,-22.9056391,-47.059564
1015,50000,PAULO ROBERTO BUFALO,92,PSOL,2020,-22.9056391,-47.059564
1015,50001,MARCELA DIAS MOREIRA,72,PSOL,2020,-22.9056391,-47.059564
1015,50100,MARIANA CONTI TAKAHASHI,288,PSOL,2020,-22.9056391,-47.059564
1015,50123,ÉLICE NATALIA BOTELHO,62,PSOL,2020,-22.9056391,-47.059564
1015,50300,LETÍCIA SOUZA MOREIRA BENEVIDES,60,PSOL,2020,-22.9056391,-47.059564
1015,51,WILSON KELLER DE MATOS,332,PATRIOTA,2020,-22.9056391,-47.059564
1015,55,ARTUR CASSEB ORSI,2211,PSD,2020,-22.9056391,-47.059564
1015,55,Partido Social Democrático,77,PSD,2020,-22.9056391,-47.059564
1015,55005,EDUARDO FACTOR,32,PSD,2020,-22.9056391,-47.059564
1015,55055,MARCELO DUCHOVNI SILVA,235,PSD,2020,-22.9056391,-47.059564
1015,55123,ANGELO DINIZ,49,PSD,2020,-22.9056391,-47.059564
1015,55555,FLÁVIO MAYNARDES ARAUJO,99,PSD,2020,-22.9056391,-47.059564
1015,55655,NELSON HOSSRI NETO,165,PSD,2020,-22.9056391,-47.059564
1015,65,ALESSANDRA RIBEIRO MARTINS,305,PC DO B,2020,-22.9056391,-47.059564
1015,65035,ANDREA APARECIDA DE JESUS MENDES,34,PC DO B,2020,-22.9056391,-47.059564
1015,65123,ORESTES AUGUSTO TOLEDO,52,PC DO B,2020,-22.9056391,-47.059564
1015,65222,ADRIANO APARECIDO ELIAS DA SILVA,47,PC DO B,2020,-22.9056391,-47.059564
1015,65656,GUSTAVO LEMOS PETTA,71,PC DO B,2020,-22.9056391,-47.059564
1015,70000,FRANCISCA ROSANA MONTANHER,43,AVANTE,2020,-22.9056391,-47.059564
1015,70030,FELIPE CEZAR MONTEIRO DE SOUZA,79,AVANTE,2020,-22.9056391,-47.059564
1015,70123,VALDEIR LUCCHIARI,50,AVANTE,2020,-22.9056391,-47.059564
1015,70133,HELIO ALVES MOREIRA,42,AVANTE,2020,-22.9056391,-47.059564
1015,70655,JOSÉ WILSON DANTAS,100,AVANTE,2020,-22.9056391,-47.059564
1015,70890,MILTON SOARES MUCHIUTTE,55,AVANTE,2020,-22.9056391,-47.059564
1015,77000,RICARDO JOSÉ PEREIRA,39,SOLIDARIEDADE,2020,-22.9056391,-47.059564
1015,77100,JAIR QUINALIA,74,SOLIDARIEDADE,2020,-22.9056391,-47.059564
1015,77800,CREBIO DINIZ DE ALMEIDA,36,SOLIDARIEDADE,2020,-22.9056391,-47.059564
1015,95,VOTO BRANCO,2769,,2020,-22.9056391,-47.059564
1015,96,VOTO NULO,5479,,2020,-22.9056391,-47.059564
1023,10,DARIO JORGE GIOLO SAADI,7798,REPUBLICANOS,2020,-22.9056391,-47.059564
1023,10,REPUBLICANOS,123,REPUBLICANOS,2020,-22.9056391,-47.059564
1023,10000,PAULO SERGIO CAMPANA,36,REPUBLICANOS,2020,-22.9056391,-47.059564
1023,10080,LUIZ FELIPE DE OLIVEIRA THEODORO,33,REPUBLICANOS,2020,-22.9056391,-47.059564
1023,10122,LUIZ GONZAGA,31,REPUBLICANOS,2020,-22.9056391,-47.059564
1023,10123,FERNANDO CESAR RIBEIRO MENDES,110,REPUBLICANOS,2020,-22.9056391,-47.059564
1023,10200,HIGOR DIEGO RALLA,49,REPUBLICANOS,2020,-22.9056391,-47.059564
1023,10234,JAKSSON LEANDRO LUCIANO GONÇALVES,49,REPUBLICANOS,2020,-22.9056391,-47.059564
1023,11111,JAIME DE SOUZA,62,PP,2020,-22.9056391,-47.059564
1023,11123,DENILSON DO PRADO,61,PP,2020,-22.9056391,-47.059564
1023,11190,ISRAEL NANTES SANTOS,41,PP,2020,-22.9056391,-47.059564
1023,12,HÉLIO DE OLIVEIRA SANTOS,100,,2020,-22.9056391,-47.059564
1023,12345,AURELIO JOSE CLAUDIO,83,PDT,2020,-22.9056391,-47.059564
1023,13,PEDRO TOURINHO DE SIQUEIRA,1949,PT,2020,-22.9056391,-47.059564
1023,13,Partido dos Trabalhadores,182,PT,2020,-22.9056391,-47.059564
1023,13020,MARGARIDA DA SILVA CALIXTO,80,PT,2020,-22.9056391,-47.059564
1023,13060,WALCY DE OLIVEIRA,71,PT,2020,-22.9056391,-47.059564
1023,13123,PAOLLA CATHERINE DOS SANTOS MIGUEL AGARD,47,PT,2020,-22.9056391,-47.059564
1023,13300,WAGNER DE MELO ROMÃO,69,PT,2020,-22.9056391,-47.059564
1023,13331,VERA LÚCIA RODRIGUES DE FARIA,42,PT,2020,-22.9056391,-47.059564
1023,13613,CARLOS ROBERTO DE OLIVEIRA,37,PT,2020,-22.9056391,-47.059564
1023,14,TERESINHA DE CARVALHO,287,PTB,2020,-22.9056391,-47.059564
1023,14013,KATIA STANCATO,55,PTB,2020,-22.9056391,-47.059564
1023,15000,ARNALDO SALVETTI PALÁCIO JUNIOR,62,MDB,2020,-22.9056391,-47.059564
1023,15100,YANKO GONCALVES MELLO,51,MDB,2020,-22.9056391,-47.059564
1023,17100,GERALDO GABRIEL GAVA,54,PSL,2020,-22.9056391,-47.059564
1023,17200,EDISON RIBEIRO,73,PSL,2020,-22.9056391,-47.059564
1023,19000,APARECIDO DE CAMPOS FILHO,32,,2020,-22.9056391,-47.059564
1023,19555,EDUARDO DOS REIS MAGOGA,61,PODE,2020,-22.9056391,-47.059564
1023,20000,DEBORA DE ANDRADE PALERMO,36,PSC,2020,-22.9056391,-47.059564
1023,20020,CARLOS EDUARDO CRUZ,50,PSC,2020,-22.9056391,-47.059564
1023,20500,JOSÉ CARLOS FURIOSO,44,PSC,2020,-22.9056391,-47.059564
1023,22,Partido Liberal,100,PL,2020,-22.9056391,-47.059564
1023,22,RAFAEL FERNANDO ZIMBALDI,5321,PL,2020,-22.9056391,-47.059564
1023,22000,ALBERTO ALVES DA FONSECA,71,PL,2020,-22.9056391,-47.059564
1023,22006,ALDO ALVES JUNIOR,37,PL,2020,-22.9056391,-47.059564
1023,22019,FELIPE PEREIRA DE CAMPOS VERGUEIRO,659,PL,2020,-22.9056391,-47.059564
1023,22111,CAROLINA LOURENÇO DEFILIPPI GONÇALVES,79,PL,2020,-22.9056391,-47.059564
1023,22123,JORGE ROBERTO SCHENEIDER,54,PL,2020,-22.9056391,-47.059564
1023,22222,PAULO SERGIO GALTÉRIO,31,PL,2020,-22.9056391,-47.059564
1023,22622,EDEVALDO DE MELO,40,PL,2020,-22.9056391,-47.059564
1023,23,ANDRÉ LUIZ DE CAMARGO VON ZUBEN,211,CIDADANIA,2020,-22.9056391,-47.059564
1023,23123,PAULO CESAR HADDAD,98,CIDADANIA,2020,-22.9056391,-47.059564
1023,23238,LI LI MIN,37,CIDADANIA,2020,-22.9056391,-47.059564
1023,23698,RILDO CARLOS PRAZERES DOS SANTOS,91,CIDADANIA,2020,-22.9056391,-47.059564
1023,25000,RODRIGO LUIS DE BARROS ALMEIDA,53,DEM,2020,-22.9056391,-47.059564
1023,28,ROGÉRIO STRACIALANO PARADA,151,PRTB,2020,-22.9056391,-47.059564
1023,30,Partido Novo,94,,2020,-22.9056391,-47.059564
1023,30000,ANDRE ROBERTO FREITAS FERREIRA PINTO,34,NOVO,2020,-22.9056391,-47.059564
1023,30100,ADELSON FONSECA BEZERRA,35,NOVO,2020,-22.9056391,-47.059564
