nr_local,nr_candidato,nm_candidato,votos,sg_partido,ano,lat,lng
1015,10,REPUBLICANOS,47,REPUBLICANOS,2022,-22.8943716,-47.0503261
1015,10,TARCISIO GOMES DE FREITAS,16153,REPUBLICANOS,2022,-22.8943716,-47.0503261
1015,1000,CELSO UBIRAJARA RUSSOMANNO,161,REPUBLICANOS,2022,-22.8943716,-47.0503261
1015,10000,JORGE WILSON GONÇALVES DE MATTOS,30,REPUBLICANOS,2022,-22.8943716,-47.0503261
1015,10099,LEONICE ALVES DA PAZ,95,REPUBLICANOS,2022,-22.8943716,-47.0503261
1015,1010,MARCOS ANTONIO PEREIRA,77,REPUBLICANOS,2022,-22.8943716,-47.0503261
1015,10123,GILMACI DOS SANTOS BARBOSA,167,REPUBLICANOS,2022,-22.8943716,-47.0503261
1015,10200,HIGOR DIEGO RALLA,385,REPUBLICANOS,2022,-22.8943716,-47.0503261
1015,10550,TOME ABDUCH,287,REPUBLICANOS,2022,-22.8943716,-47.0503261
1015,10777,MANOEL BARBOSA DO NASCIMENTO,31,REPUBLICANOS,2022,-22.8943716,-47.0503261
1015,1078,BENEDITO ROBERTO ALVES FERREIRA,160,REPUBLICANOS,2022,-22.8943716,-47.0503261
1015,1099,ROBERTO ALVES DE LUCENA,74,REPUBLICANOS,2022,-22.8943716,-47.0503261
1015,1111,BRUNO MARCELLO DE OLIVEIRA LIMA,291,PP,2022,-22.8943716,-47.0503261
1015,1112,ISRAEL NANTES SANTOS,107,PP,2022,-22.8943716,-47.0503261
1015,11190,RAFAEL HENRIQUE CANO TELHADA,62,PP,2022,-22.8943716,-47.0503261
1015,1122,CARLOS ALBERTO DA CUNHA,103,PP,2022,-22.8943716,-47.0503261
1015,11777,ANTONIO ASSUNÇÃO DE OLIM,63,PP,2022,-22.8943716,-47.0503261
1015,12,ELVIS LEONARDO CEZAR,97,PDT,2022,-22.8943716,-47.0503261
1015,12,Partido Democrático Trabalhista,41,PDT,2022,-22.8943716,-47.0503261
1015,1212,MARIA GIOVANA LUCHIARI PISONI DUARTE FORTUNATO,33,PDT,2022,-22.8943716,-47.0503261
1015,12200,WILSON KELLER DE MATOS,52,PDT,2022,-22.8943716,-47.0503261
1015,123,JOSÉ ALDO REBELO FIGUEIREDO,155,PDT,2022,-22.8943716,-47.0503261
1015,13,FERNANDO HADDAD,9871,PT,2022,-22.8943716,-47.0503261
1015,13,Partido dos Trabalhadores,579,PT,2022,-22.8943716,-47.0503261
1015,13016,THAINARA KAROLINE FARIA,76,PT,2022,-22.8943716,-47.0503261
1015,13120,CARLOS ROBERTO DE OLIVEIRA,49,PT,2022,-22.8943716,-47.0503261
1015,13121,ANA LUCIA LIPPAUS PERUGINI,121,PT,2022,-22.8943716,-47.0503261
1015,13123,MARIA IZABEL AZEVEDO NORONHA,84,PT,2022,-22.8943716,-47.0503261
1015,1313,RUI GOETHE DA COSTA FALCÃO,51,PT,2022,-22.8943716,-47.0503261
1015,13133,EDUARDO MATARAZZO SUPLICY,465,PT,2022,-22.8943716,-47.0503261
1015,1319,PEDRO TOURINHO DE SIQUEIRA,1012,PT,2022,-22.8943716,-47.0503261
1015,13199,PAOLLA CATHERINE DOS SANTOS MIGUEL AGARD,227,PT,2022,-22.8943716,-47.0503261
1015,13300,WAGNER DE MELO ROMÃO,102,PT,2022,-22.8943716,-47.0503261
1015,13331,VERA LUCIA RODRIGUES DE FARIA,49,PT,2022,-22.8943716,-47.0503261
1015,13651,PAULO BATISTA DOS REIS,65,PT,2022,-22.8943716,-47.0503261
1015,13654,JANDYRA MASSUE UEHARA ALVES,85,PT,2022,-22.8943716,-47.0503261
1015,1366,MARIANA CERGOLI JANEIRO,50,PT,2022,-22.8943716,-47.0503261
1015,1370,CARLOS ALBERTO ROLIM ZARATTINI,37,PT,2022,-22.8943716,-47.0503261
1015,1380,JILMAR AUGUSTINHO TATTO,120,PT,2022,-22.8943716,-47.0503261
1015,14038,PAULO HUGENNEYER KOGOS,41,PTB,2022,-22.8943716,-47.0503261
1015,1414,ADRILLES REIS JORGE,73,PTB,2022,-22.8943716,-47.0503261
1015,15,Movimento Democrático Brasileiro,67,,2022,-22.8943716,-47.0503261
1015,1500,MARIO PALUMBO JUNIOR,109,MDB,2022,-22.8943716,-47.0503261
1015,15121,ANDRE CESAR COSTA,30,MDB,2022,-22.8943716,-47.0503261
1015,1532,LUIZ LAURO FERREIRA,48,MDB,2022,-22.8943716,-47.0503261
1015,1536,ENRICO VAN BLARCUM DE GRAAFF MISASI,30,MDB,2022,-22.8943716,-47.0503261
1015,155,EDSON APARECIDO DOS SANTOS,603,MDB,2022,-22.8943716,-47.0503261
1015,1580,FÁBIO EDUARDO DE OLIVEIRA TERUEL,51,MDB,2022,-22.8943716,-47.0503261
1015,1587,ARNALDO SALVETTI PALACIO JUNIOR,128,MDB,2022,-22.8943716,-47.0503261
1015,18000,MARINA MEDEIROS HELOU,40,REDE,2022,-22.8943716,-47.0503261
1015,1818,MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA,202,REDE,2022,-22.8943716,-47.0503261
1015,1877,RICARDO MAGNUS OSÓRIO GALVÃO,46,REDE,2022,-22.8943716,-47.0503261
1015,1910,BRUNO AREVALO GANEM,101,PODE,2022,-22.8943716,-47.0503261
1015,19101,CLARICE CARASSOL AREVALO GANEM,74,PODE,2022,-22.8943716,-47.0503261
1015,1911,HENI OZI CUKIER,86,PODE,2022,-22.8943716,-47.0503261
1015,19111,GERSON DOS SANTOS PIRES,30,PODE,2022,-22.8943716,-47.0503261
1015,19519,EDUARDO DOS REIS MAGOGA,66,PODE,2022,-22.8943716,-47.0503261
1015,20123,HELIO DONIZETE ZANATTA,53,PSC,2022,-22.8943716,-47.0503261
1015,20190,LUIZ PAULO MADALHANO MAGALHÃES,35,PSC,2022,-22.8943716,-47.0503261
1015,2020,GILBERTO NASCIMENTO SILVA,97,PSC,2022,-22.8943716,-47.0503261
1015,20320,JOSÉ CARLOS FURIOSO,78,PSC,2022,-22.8943716,-47.0503261
1015,21,GABRIEL MAURILIO COLOMBO DE FREITAS,35,PCB,2022,-22.8943716,-47.0503261
1015,211,TITO FLAVIO BELLINI NOGUEIRA DE OLIVEIRA,55,PCB,2022,-22.8943716,-47.0503261
1015,22,Partido Liberal,477,,2022,-22.8943716,-47.0503261
1015,2200,JOSÉ AUGUSTO ROSA,69,PL,2022,-22.8943716,-47.0503261
1015,22000,DIMAS MECCA SAMPAIO,185,PL,2022,-22.8943716,-47.0503261
1015,22007,DANILO MASCARENHAS DE BALAS,45,PL,2022,-22.8943716,-47.0503261
1015,2208,MARIO LUIS FRIAS,193,PL,2022,-22.8943716,-47.0503261
1015,2210,CARLA ZAMBELLI SALGADO DE OLIVEIRA,1091,PL,2022,-22.8943716,-47.0503261
1015,22100,BRUNO ZAMBELLI SALGADO,308,PL,2022,-22.8943716,-47.0503261
1015,22112,CARLOS CEZAR DA SILVA,102,PL,2022,-22.8943716,-47.0503261
1015,22120,GILDEVANIO ILSO DOS SANTOS DINIZ,212,PL,2022,-22.8943716,-47.0503261
1015,22138,ROBERVAL CONTE LOPES LIMA,106,PL,2022,-22.8943716,-47.0503261
1015,22180,RAQUEL KOBASHI GALLINATI LOMBARDI,58,PL,2022,-22.8943716,-47.0503261
1015,222,MARCOS CESAR PONTES,7322,PL,2022,-22.8943716,-47.0503261
1015,2222,EDUARDO NANTES BOLSONARO,846,PL,2022,-22.8943716,-47.0503261
1015,22222,MARCOS ROBERTO DAMASIO DA SILVA,92,PL,2022,-22.8943716,-47.0503261
1015,2233,PAULO ROBERTO FREIRE DA COSTA,234,PL,2022,-22.8943716,-47.0503261
1015,22343,THIAGO REIS AURICCHIO,37,PL,2022,-22.8943716,-47.0503261
1015,2240,KATIA DA SILVA SASTRE,35,PL,2022,-22.8943716,-47.0503261
1015,22422,PAULO JORGE MANSUR NETO,196,PL,2022,-22.8943716,-47.0503261
1015,2243,LUIZ PHILIPPE DE ORLEANS E BRAGANÇA,109,PL,2022,-22.8943716,-47.0503261
1015,2244,LUIZ CARLOS MOTTA,33,PL,2022,-22.8943716,-47.0503261
1015,22444,MATHEUS COIMBRA MARTINS DE AGUIAR,75,PL,2022,-22.8943716,-47.0503261
1015,2247,PAULO FRANCISCO MUNIZ BILYNSKYJ,62,PL,2022,-22.8943716,-47.0503261
1015,2250,RICARDO DE AQUINO SALLES,720,PL,2022,-22.8943716,-47.0503261
