zona,partido,votos,ano
0379,PRP,741,2018
0379,PRTB,155,2018
0379,PSB,10682,2018
0379,PSC,135,2018
0379,PSD,2797,2018
0379,PSDB,3718,2018
0379,PSL,20804,2018
0379,PSOL,4400,2018
0379,PSTU,68,2018
0379,PT,9687,2018
0379,PTB,225,2018
0379,PTC,33,2018
0379,PV,326,2018
0379,REDE,288,2018
0379,SOLIDARIEDADE,96,2018
0380,AVANTE,192,2018
0380,DC,41,2018
0380,DEM,5268,2018
0380,MDB,674,2018
0380,NOVO,3176,2018
0380,PATRI,204,2018
0380,PC DO B,1262,2018
0380,PCB,8,2018
0380,PDT,542,2018
0380,PHS,877,2018
0380,PMB,15,2018
0380,PMN,90,2018
0380,PODE,1130,2018
0380,PP,2223,2018
0380,PPL,103,2018
0380,PPS,602,2018
0380,PR,3141,2018
0380,PRB,1493,2018
0380,PROS,718,2018
0380,PRP,735,2018
0380,PRTB,82,2018
0380,PSB,7473,2018
0380,PSC,104,2018
0380,PSD,1447,2018
0380,PSDB,4004,2018
0380,PSL,20855,2018
0380,PSOL,4731,2018
0380,PSTU,34,2018
0380,PT,4947,2018
0380,PTB,323,2018
0380,PTC,25,2018
0380,PV,420,2018
0380,REDE,344,2018
0380,SOLIDARIEDADE,125,2018
0423,AVANTE,113,2018
0423,DC,12,2018
0423,DEM,3135,2018
0423,MDB,450,2018
0423,NOVO,4851,2018
0423,PATRI,108,2018
0423,PC DO B,2037,2018
0423,PCB,5,2018
0423,PDT,291,2018
0423,PHS,564,2018
0423,PMB,1,2018
0423,PMN,55,2018
0423,PODE,931,2018
0423,PP,1286,2018
0423,PPL,88,2018
0423,PPS,497,2018
0423,PR,1402,2018
0423,PRB,1173,2018
0423,PROS,2073,2018
0423,PRP,491,2018
0423,PRTB,80,2018
0423,PSB,4257,2018
0423,PSC,65,2018
0423,PSD,1052,2018
0423,PSDB,3326,2018
0423,PSL,16570,2018
0423,PSOL,3733,2018
0423,PSTU,20,2018
0423,PT,3162,2018
0423,PTB,199,2018
0423,PTC,36,2018
0423,PV,497,2018
0423,REDE,410,2018
0423,SOLIDARIEDADE,67,2018
