zona,partido,votos,ano
0033,AVANTE,107,2018
0033,DC,7,2018
0033,DEM,2095,2018
0033,MDB,355,2018
0033,NOVO,4184,2018
0033,PATRI,91,2018
0033,PC DO B,1002,2018
0033,PCB,8,2018
0033,PDT,253,2018
0033,PHS,356,2018
0033,PMB,6,2018
0033,PMN,34,2018
0033,PODE,630,2018
0033,PP,911,2018
0033,PPL,79,2018
0033,PPS,364,2018
0033,PR,1061,2018
0033,PRB,455,2018
0033,PROS,310,2018
0033,PRP,386,2018
0033,PRTB,14,2018
0033,PSB,2266,2018
0033,PSC,39,2018
0033,PSD,471,2018
0033,PSDB,2901,2018
0033,PSL,13713,2018
0033,PSOL,3636,2018
0033,PSTU,10,2018
0033,PT,2342,2018
0033,PTB,199,2018
0033,PTC,7,2018
0033,PV,361,2018
0033,REDE,410,2018
0033,SOLIDARIEDADE,56,2018
0274,AVANTE,213,2018
0274,DC,23,2018
0274,DEM,3845,2018
0274,MDB,526,2018
0274,NOVO,3019,2018
0274,PATRI,122,2018
0274,PC DO B,1363,2018
0274,PCB,7,2018
0274,PDT,359,2018
0274,PHS,928,2018
0274,PMB,9,2018
0274,PMN,100,2018
0274,PODE,914,2018
0274,PP,1703,2018
0274,PPL,43,2018
0274,PPS,290,2018
0274,PR,2451,2018
0274,PRB,1132,2018
0274,PROS,1366,2018
0274,PRP,582,2018
0274,PRTB,48,2018
0274,PSB,6217,2018
0274,PSC,55,2018
0274,PSD,1087,2018
0274,PSDB,3153,2018
0274,PSL,16876,2018
0274,PSOL,4140,2018
0274,PSTU,24,2018
0274,PT,3253,2018
0274,PTB,197,2018
0274,PTC,11,2018
0274,PV,307,2018
0274,REDE,327,2018
0274,SOLIDARIEDADE,100,2018
0275,AVANTE,211,2018
0275,DC,33,2018
0275,DEM,5016,2018
0275,MDB,772,2018
0275,NOVO,7453,2018
0275,PATRI,201,2018
0275,PC DO B,2595,2018
0275,PCB,12,2018
0275,PDT,882,2018
0275,PHS,736,2018
0275,PMB,19,2018
0275,PMN,86,2018
0275,PODE,1405,2018
0275,PP,2361,2018
0275,PPL,199,2018
0275,PPS,593,2018
0275,PR,3721,2018
0275,PRB,1399,2018
0275,PROS,689,2018
0275,PRP,780,2018
0275,PRTB,189,2018
0275,PSB,7148,2018
0275,PSC,140,2018
0275,PSD,1624,2018
0275,PSDB,4673,2018
0275,PSL,25325,2018
0275,PSOL,8139,2018
0275,PSTU,42,2018
0275,PT,6302,2018
0275,PTB,324,2018
0275,PTC,18,2018
0275,PV,754,2018
0275,REDE,765,2018
0275,SOLIDARIEDADE,133,2018
0378,AVANTE,974,2018
0378,DC,20,2018
0378,DEM,6727,2018
0378,MDB,682,2018
0378,NOVO,2151,2018
0378,PATRI,415,2018
0378,PC DO B,3259,2018
0378,PCB,5,2018
0378,PDT,690,2018
0378,PHS,1425,2018
0378,PMB,30,2018
0378,PMN,174,2018
0378,PODE,1615,2018
0378,PP,2382,2018
0378,PPL,86,2018
0378,PPS,234,2018
0378,PR,4140,2018
0378,PRB,3664,2018
0378,PROS,1097,2018
0378,PRP,696,2018
0378,PRTB,216,2018
0378,PSB,17782,2018
0378,PSC,210,2018
0378,PSD,3413,2018
0378,PSDB,3230,2018
0378,PSL,21065,2018
0378,PSOL,3874,2018
0378,PSTU,47,2018
0378,PT,12338,2018
0378,PTB,220,2018
0378,PTC,45,2018
0378,PV,383,2018
0378,REDE,298,2018
0378,SOLIDARIEDADE,167,2018
0379,AVANTE,401,2018
0379,DC,38,2018
0379,DEM,5319,2018
0379,MDB,783,2018
0379,NOVO,2277,2018
0379,PATRI,251,2018
0379,PC DO B,1979,2018
0379,PCB,2,2018
0379,PDT,606,2018
0379,PHS,1106,2018
0379,PMB,14,2018
0379,PMN,383,2018
0379,PODE,1378,2018
0379,PP,2329,2018
0379,PPL,95,2018
0379,PPS,334,2018
0379,PR,3765,2018
0379,PRB,2790,2018
0379,PROS,990,2018
