nr_local,nr_candidato,nm_candidato,votos,sg_partido,ano,lat,lng
1015,10,DÁRIO JORGE GIOLO SAADI,7439,REPUBLICANOS,2024,-22.8943716,-47.0503261
1015,10,REPUBLICANOS,148,REPUBLICANOS,2024,-22.8943716,-47.0503261
1015,10000,LUIZ CARLOS ROSSINI,140,REPUBLICANOS,2024,-22.8943716,-47.0503261
1015,10007,TERESINHA DE CARVALHO,36,REPUBLICANOS,2024,-22.8943716,-47.0503261
1015,10010,CLAUDIO CORMANICH,30,REPUBLICANOS,2024,-22.8943716,-47.0503261
1015,10123,BENEDITO ROBERTO ALVES FERREIRA,115,REPUBLICANOS,2024,-22.8943716,-47.0503261
1015,10190,DENILSON DO PRADO,56,REPUBLICANOS,2024,-22.8943716,-47.0503261
1015,10200,HIGOR DIEGO RALLA,82,REPUBLICANOS,2024,-22.8943716,-47.0503261
1015,10222,JEZIEL SEVERINO DA SILVA,49,REPUBLICANOS,2024,-22.8943716,-47.0503261
1015,10234,MILTON SOARES MUCHIUTTE,107,REPUBLICANOS,2024,-22.8943716,-47.0503261
1015,10333,NOEMI SILVANA PRATES DE OLIVEIRA,50,REPUBLICANOS,2024,-22.8943716,-47.0503261
1015,10450,MARCELO PONTEL,30,REPUBLICANOS,2024,-22.8943716,-47.0503261
1015,10456,CARMO LUIZ GREGÓRIO DA SILVA,46,REPUBLICANOS,2024,-22.8943716,-47.0503261
1015,10500,LUIS MOKITI YABIKU,77,REPUBLICANOS,2024,-22.8943716,-47.0503261
1015,10556,GIOVANNE SOTELLO LAVORINI,32,REPUBLICANOS,2024,-22.8943716,-47.0503261
1015,11000,YANKO GONÇALVES MELLO,78,PP,2024,-22.8943716,-47.0503261
1015,11001,MICHAEL AUGUSTO CRISÓSTOMO,76,PP,2024,-22.8943716,-47.0503261
1015,11011,MARCELO DUCHOVNI SILVA,142,PP,2024,-22.8943716,-47.0503261
1015,11022,JONATHAS DE SIQUEIRA FERREIRA,65,PP,2024,-22.8943716,-47.0503261
1015,11111,VINICIUS CAMARGO GRATTI,32,PP,2024,-22.8943716,-47.0503261
1015,11153,SILVIO MARCIO LAVORATO,52,PP,2024,-22.8943716,-47.0503261
1015,11999,LEONICE ALVES DA PÁZ,55,PP,2024,-22.8943716,-47.0503261
1015,12333,RODOLFO TEIXEIRA CORREA,30,PDT,2024,-22.8943716,-47.0503261
1015,13,PEDRO TOURINHO DE SIQUEIRA,2267,PT,2024,-22.8943716,-47.0503261
1015,13,Partido dos Trabalhadores,203,PT,2024,-22.8943716,-47.0503261
1015,13011,CECILIO SERAFIM DOS SANTOS,51,PT,2024,-22.8943716,-47.0503261
1015,13020,MARGARIDA DA SILVA CALIXTO,165,PT,2024,-22.8943716,-47.0503261
1015,13100,LUIZ CARLOS FELICIDADE,35,PT,2024,-22.8943716,-47.0503261
1015,13123,PAOLLA CATHERINE DOS SANTOS MIGUEL AGARD,148,PT,2024,-22.8943716,-47.0503261
1015,13138,SOLANGE LOUREIRO POZZUTO,33,PT,2024,-22.8943716,-47.0503261
