zona,nr_candidato,nm_candidato,sg_partido,ds_cargo,votos,ano
0033,10000,LUIZ CARLOS ROSSINI,REPUBLICANOS,Vereador,1043,2024
0033,10007,TERESINHA DE CARVALHO,REPUBLICANOS,Vereador,342,2024
0033,10010,CLAUDIO CORMANICH,REPUBLICANOS,Vereador,213,2024
0033,10015,ZILDA APARECIDA BRAMBILLA,REPUBLICANOS,Vereador,71,2024
0033,10017,LEONARDO VINICIUS DE OLIVEIRA,REPUBLICANOS,Vereador,16,2024
0033,10019,ROBLEDO RUAN SANTOS SOUSA,REPUBLICANOS,Vereador,16,2024
0033,10050,ANGÉLICA SOARES,REPUBLICANOS,Vereador,66,2024
0033,10077,LÉIA DE SOUZA FRANÇA,REPUBLICANOS,Vereador,9,2024
0033,10080,LUIZ FELIPE DE OLIVEIRA THEODORO,REPUBLICANOS,Vereador,155,2024
0033,10100,TIAGO LUIS DE SOUZA,REPUBLICANOS,Vereador,73,2024
0033,10104,FRANCISCO DE SOUZA,REPUBLICANOS,Vereador,72,2024
0033,10112,RUTE APARECIDA LEITE RIPARI,REPUBLICANOS,Vereador,11,2024
0033,10123,BENEDITO ROBERTO ALVES FERREIRA,REPUBLICANOS,Vereador,797,2024
0033,10150,PAULO ROBERTO DOS SANTOS VIEIRA,REPUBLICANOS,Vereador,19,2024
0033,10190,DENILSON DO PRADO,REPUBLICANOS,Vereador,48,2024
0033,10200,HIGOR DIEGO RALLA,REPUBLICANOS,Vereador,315,2024
0033,10210,MARCIO LOPES DOS SANTOS,REPUBLICANOS,Vereador,88,2024
0033,10222,JEZIEL SEVERINO DA SILVA,REPUBLICANOS,Vereador,326,2024
0033,10234,MILTON SOARES MUCHIUTTE,REPUBLICANOS,Vereador,124,2024
0033,10300,THIAGO DE OLIVEIRA GONÇALVES,REPUBLICANOS,Vereador,205,2024
0033,10333,NOEMI SILVANA PRATES DE OLIVEIRA,REPUBLICANOS,Vereador,21,2024
0033,10450,MARCELO PONTEL,REPUBLICANOS,Vereador,90,2024
0033,10456,CARMO LUIZ GREGÓRIO DA SILVA,REPUBLICANOS,Vereador,215,2024
0033,10500,LUIS MOKITI YABIKU,REPUBLICANOS,Vereador,842,2024
0033,10520,SUELI DOS SANTOS SILVA BARBOSA,REPUBLICANOS,Vereador,5,2024
0033,10556,GIOVANNE SOTELLO LAVORINI,REPUBLICANOS,Vereador,223,2024
0033,10600,LUIZA MARIA ARAÚJO,REPUBLICANOS,Vereador,11,2024
0033,10700,BRUNO SENNA NETO,REPUBLICANOS,Vereador,148,2024
0033,10714,NILVA MARIA DE LIMA JORDÃO,REPUBLICANOS,Vereador,54,2024
0033,10756,RHAIZA FERNANDA ATÊNCIO LIMA DOS ANJOS,REPUBLICANOS,Vereador,0,2024
0033,10770,ELIANE MARIA ADAMI,REPUBLICANOS,Vereador,28,2024
0033,10777,LEANDRO ROSALEM FERREIRA,REPUBLICANOS,Vereador,76,2024
0033,10789,CARLOS JOSÉ LEMOS,REPUBLICANOS,Vereador,51,2024
0033,10800,DONIZETI GOMES,REPUBLICANOS,Vereador,102,2024
0033,11000,YANKO GONÇALVES MELLO,PP,Vereador,617,2024
0033,11001,MICHAEL AUGUSTO CRISÓSTOMO,PP,Vereador,90,2024
0033,11011,MARCELO DUCHOVNI SILVA,PP,Vereador,1533,2024
0033,11012,JULIO CESAR BEARARI,PP,Vereador,43,2024
0033,11022,JONATHAS DE SIQUEIRA FERREIRA,PP,Vereador,274,2024
0033,11030,IZABEL DE SOUZA SANTOS,PP,Vereador,0,2024
0033,11033,CARLOS ALBERTO BERTOLDO,PP,Vereador,49,2024
0033,11080,ANA PAULA DA SILVA LUZ,PP,Vereador,21,2024
0033,11100,ADRIANA SANCHES GALDEANO BORGO,PP,Vereador,21,2024
0033,11111,VINICIUS CAMARGO GRATTI,PP,Vereador,297,2024
0033,11112,ARADIANE CRISTINA VICENTE RODRIGUES CHRISPIM,PP,Vereador,23,2024
0033,11123,JULIANO ANTONIO MARÇAL,PP,Vereador,51,2024
0033,11144,ELEN CRISTINA PINTO FELIX,PP,Vereador,1,2024
0033,11153,SILVIO MARCIO LAVORATO,PP,Vereador,322,2024
0033,11190,EDUARDO FRANCISCO DA SILVA,PP,Vereador,26,2024
0033,11200,ADILSON DE SOUZA ROCHA,PP,Vereador,110,2024
0033,11210,JOSÉ APARECIDO DOS SANTOS,PP,Vereador,19,2024
0033,11211,RONIE FERREIRA DOS SANTOS,PP,Vereador,1,2024
0033,11222,FRANCISCA ROSANA MONTANHER,PP,Vereador,63,2024
