zona,votos_campo,votos_total,campo_pct,ano,eleitores_aptos,abstencao_pct
0033,6398,39119,16.36,2018,64849,
0274,7744,54790,14.13,2018,93261,
0275,15248,84739,17.99,2018,142203,
0378,16557,93754,17.66,2018,185083,
0379,14443,78995,18.28,2018,154789,
0380,10056,67408,14.92,2018,119323,
0423,7325,53037,13.81,2018,89619,
