nr_candidato,nm_candidato,sg_partido,ds_cargo,total_votos,zonas_com_voto,ano
50100,MARIANA CONTI TAKAHASHI,PSOL,Vereador,10886,7,2020
10200,HIGOR DIEGO RALLA,REPUBLICANOS,Vereador,7670,7,2020
55055,MARCELO DUCHOVNI SILVA,PSD,Vereador,6858,7,2020
10123,FERNANDO CESAR RIBEIRO MENDES,REPUBLICANOS,Vereador,6539,7,2020
25000,RODRIGO LUIS DE BARROS ALMEIDA,DEM,Vereador,6493,7,2020
40112,FILIPE BATISTA MARCHESI,PSB,Vereador,5605,7,2020
25500,RUBENS SOARES DO NASCIMENTO,DEM,Vereador,4971,7,2020
55655,NELSON HOSSRI NETO,PSD,Vereador,4715,7,2020
40678,JOSÉ CARLOS SILVA,PSB,Vereador,4674,7,2020
17200,EDISON RIBEIRO,PSL,Vereador,4355,7,2020
40456,PERMINIO MONTEIRO DA SILVA,PSB,Vereador,4127,7,2020
40580,JOSE CARLOS DOS SANTOS,PSB,Vereador,4125,7,2020
17000,APARECIDO SOUZA SANTOS,PSL,Vereador,3995,7,2020
22000,ALBERTO ALVES DA FONSECA,PL,Vereador,3990,7,2020
19555,EDUARDO DOS REIS MAGOGA,PODE,Vereador,3846,7,2020
13020,MARGARIDA DA SILVA CALIXTO,PT,Vereador,3645,7,2020
40888,AILTON FERNANDES SARMENTO,PSB,Vereador,3598,7,2020
45678,LUIZ HENRIQUE CIRILO,PSDB,Vereador,3593,7,2020
15000,ARNALDO SALVETTI PALÁCIO JUNIOR,MDB,Vereador,3570,7,2020
77100,JAIR QUINALIA,SOLIDARIEDADE,Vereador,3560,7,2020
50000,PAULO ROBERTO BUFALO,PSOL,Vereador,3374,7,2020
40000,LUIS MOKITI YABIKU,PSB,Vereador,3357,7,2020
22123,JORGE ROBERTO SCHENEIDER,PL,Vereador,3153,7,2020
22789,JUSCELINO DE SOUZA MARTINS,PL,Vereador,3083,7,2020
65656,GUSTAVO LEMOS PETTA,PC do B,Vereador,3059,7,2020
40013,JAIRSON VALERIO DOS ANJOS,PSB,Vereador,3045,7,2020
45222,JORGE DOS SANTOS MONTANARI,PSDB,Vereador,3023,7,2020
70555,MARCELO VITAL,AVANTE,Vereador,3020,7,2020
30999,PAULO SÉRGIO BARCELLOS GASPAR,NOVO,Vereador,3014,7,2020
55555,FLÁVIO MAYNARDES ARAUJO,PSD,Vereador,2965,7,2020
70030,FELIPE CEZAR MONTEIRO DE SOUZA,AVANTE,Vereador,2818,7,2020
30777,JONATHAS DE SIQUEIRA FERREIRA,NOVO,Vereador,2762,7,2020
50300,LETÍCIA SOUZA MOREIRA BENEVIDES,PSOL,Vereador,2729,7,2020
13123,PAOLLA CATHERINE DOS SANTOS MIGUEL AGARD,PT,Vereador,2728,7,2020
50001,MARCELA DIAS MOREIRA,PSOL,Vereador,2678,7,2020
50123,ÉLICE NATALIA BOTELHO,PSOL,Vereador,2631,7,2020
11111,JAIME DE SOUZA,PP,Vereador,2614,7,2020
13011,CECÍLIO SERAFIM DOS SANTOS,PT,Vereador,2592,7,2020
43123,LUIZ CARLOS ROSSINI,PV,Vereador,2570,7,2020
45234,MARCOS JOSÉ BERNARDELLI,PSDB,Vereador,2493,7,2020
22567,OTTO ALEJANDRO RIGAZZO ETTINGER,PL,Vereador,2470,7,2020
40900,JOSE HONORATO DOS SANTOS,PSB,Vereador,2413,7,2020
22622,EDEVALDO DE MELO,PL,Vereador,2412,7,2020
13300,WAGNER DE MELO ROMÃO,PT,Vereador,2347,7,2020
45123,GUILHERME DAMASCENO FERNANDES,PSDB,Vereador,2306,7,2020
40123,GILBERTO CARLOS CARDOSO,PSB,Vereador,2300,7,2020
13613,CARLOS ROBERTO DE OLIVEIRA,PT,Vereador,2236,7,2020
43430,CARLOS ROBERTO ALVIM,PV,Vereador,2223,7,2020
40222,ELIAS HERNANE AZEVEDO,PSB,Vereador,2179,7,2020
11190,ISRAEL NANTES SANTOS,PP,Vereador,2151,7,2020
22222,PAULO SERGIO GALTÉRIO,PL,Vereador,2100,7,2020
17800,JEZIEL SEVERINO DA SILVA,PSL,Vereador,2092,7,2020
30500,MARIA CRISTINA DE OLIVEIRA,NOVO,Vereador,2049,7,2020
70890,MILTON SOARES MUCHIUTTE,AVANTE,Vereador,2034,7,2020
77088,JOÃO BATISTA DE PAULA,SOLIDARIEDADE,Vereador,2018,7,2020
22019,FELIPE PEREIRA DE CAMPOS VERGUEIRO,PL,Vereador,2000,7,2020
20000,DEBORA DE ANDRADE PALERMO,PSC,Vereador,1937,7,2020
20220,CARMO LUIZ GREGÓRIO DA SILVA,PSC,Vereador,1861,7,2020
23123,PAULO CESAR HADDAD,CIDADANIA,Vereador,1831,7,2020
22111,CAROLINA LOURENÇO DEFILIPPI GONÇALVES,PL,Vereador,1807,7,2020
30900,DANIEL BISCOLA PEREIRA,NOVO,Vereador,1793,7,2020
20620,GILBERTO LEÃO DE ARAUJO,PSC,Vereador,1758,7,2020
