zona,total_eleitores,pct_feminino,pct_masculino,pct_nao_informado,pct_jovens_16_34,faixa_pct_100_a_ou_mais,faixa_pct_16_a,faixa_pct_17_a,faixa_pct_18_a,faixa_pct_19_a,faixa_pct_20_a,faixa_pct_21_a_24_a,faixa_pct_25_a_29_a,faixa_pct_30_a_34_a,faixa_pct_35_a_39_a,faixa_pct_40_a_44_a,faixa_pct_45_a_49_a,faixa_pct_50_a_54_a,faixa_pct_55_a_59_a,faixa_pct_60_a_64_a,faixa_pct_65_a_69_a,faixa_pct_70_a_74_a,faixa_pct_75_a_79_a,faixa_pct_80_a_84_a,faixa_pct_85_a_89_a,faixa_pct_90_a_94_a,faixa_pct_95_a_99_a,esc_analfabeto,esc_ensino_fundamental_completo,esc_ensino_fundamental_incompleto,esc_ensino_médio_completo,esc_ensino_médio_incompleto,esc_lê_e_escreve,esc_superior_completo,esc_superior_incompleto,faixa_pct_inválida
0274,126930,53.7,46.2,0.1,23.9,0.3,0.1,0.2,1.0,1.3,1.5,6.3,8.8,8.8,9.9,10.8,9.8,8.5,7.8,6.8,5.8,4.4,3.1,2.1,1.3,0.7,0.6,1.3,7.6,16.4,31.1,17.3,2.8,16.7,6.8,
0275,115213,52.9,47.0,0.1,25.0,0.2,0.1,0.2,0.8,1.1,1.4,6.0,9.4,9.5,10.1,10.6,9.4,8.1,7.8,7.2,6.1,4.5,3.1,2.0,1.2,0.6,0.4,1.3,5.5,13.1,25.0,15.8,2.2,28.3,8.8,
0033,110477,53.9,46.0,0.2,16.3,1.0,0.0,0.1,0.5,0.6,0.8,3.3,5.7,7.3,8.9,9.9,9.1,8.8,8.4,8.6,7.6,6.1,4.4,3.3,2.4,1.6,1.4,0.7,6.2,9.9,24.5,13.5,2.2,33.1,10.0,0.0
0378,151633,52.9,47.1,0.0,29.3,0.1,0.1,0.2,0.9,1.4,1.8,7.9,11.2,10.2,10.9,10.7,9.8,8.0,7.1,6.0,5.3,3.8,2.3,1.1,0.6,0.3,0.2,2.5,8.1,21.5,35.2,19.0,4.2,5.8,3.7,
0379,150802,53.7,46.3,0.0,30.4,0.1,0.1,0.3,1.0,1.5,1.7,7.9,11.7,10.7,10.7,10.5,9.4,7.7,7.4,6.2,5.1,3.5,2.1,1.2,0.6,0.3,0.2,2.6,8.1,20.4,35.7,19.8,4.1,5.5,3.8,0.0
0380,113644,53.8,46.1,0.1,21.7,0.4,0.0,0.1,0.7,1.0,1.2,5.2,8.1,8.4,9.3,10.2,9.4,8.8,8.4,7.6,6.4,5.1,3.9,2.7,1.6,0.9,0.6,1.1,7.9,16.9,31.3,17.9,3.2,14.9,6.8,
0423,116027,53.4,46.4,0.1,22.6,0.3,0.1,0.2,0.8,1.1,1.3,5.8,8.3,8.5,9.3,9.9,9.4,8.4,8.2,7.9,6.7,5.1,3.7,2.4,1.4,0.8,0.5,1.4,6.5,16.2,26.8,16.3,2.9,22.6,7.4,
